# Fuente de datos para scripts/create-issues.sh
# Formato: tipo <TAB> id <TAB> rama <TAB> titulo
# tipo: E = epica, H = historia, T = ticket
# El detalle completo de cada item vive en docs/BACKLOG.md
T	1.3.1	feat/INKA-1.3.1-home-page-scaffold	Crear HomePage con su ruta lazy
T	1.3.2	feat/INKA-1.3.2-home-compact-header	Construir el header compacto con busqueda y avatar
T	1.3.3	feat/INKA-1.3.3-style-chips-scroller	Agregar los chips de estilo scrollables
T	1.3.4	feat/INKA-1.3.4-artist-filter-signal	Filtrar artistas por chip y texto de busqueda
H	1.4	-	Integracion Mapbox
T	1.4.1	chore/INKA-1.4.1-add-mapbox-dependency	Agregar mapbox-gl y sus tipos
T	1.4.2	ci/INKA-1.4.2-environment-file-replacements	Configurar el token de Mapbox y fileReplacements
T	1.4.3	feat/INKA-1.4.3-map-init-outside-zone	Inicializar el mapa fuera de la zona de Angular
T	1.4.4	feat/INKA-1.4.4-custom-map-style	Aplicar el estilo de mapa claro y desaturado
T	1.4.5	feat/INKA-1.4.5-map-loading-error-states	Manejar los estados de carga y error del mapa
T	1.4.6	perf/INKA-1.4.6-verify-lazy-chunk-budgets	Verificar que mapbox no entra al bundle inicial
H	1.5	-	Marcadores y clustering
T	1.5.1	feat/INKA-1.5.1-artist-bubble-marker	Dibujar los marcadores burbuja de tatuadores
T	1.5.2	feat/INKA-1.5.2-supercluster-clustering	Agrupar marcadores cercanos con supercluster
T	1.5.3	feat/INKA-1.5.3-cluster-badge-zoom	Mostrar el badge +N y expandir el cluster al tap
T	1.5.4	feat/INKA-1.5.4-sync-markers-with-filters	Sincronizar los marcadores con los filtros de Home
H	1.6	-	Card preview flotante
T	1.6.1	feat/INKA-1.6.1-artist-preview-card	Crear ArtistPreviewCardComponent
T	1.6.2	feat/INKA-1.6.2-preview-card-enter-dismiss	Animar la entrada y el cierre de la card
T	1.6.3	feat/INKA-1.6.3-preview-card-navigation	Navegar al catalogo desde la card
E	2	-	Catalogo de Tatuador
H	2.1	-	Shell del perfil y header con portada
T	2.1.1	feat/INKA-2.1.1-artist-catalog-scaffold	Crear ArtistCatalogPage con su ruta lazy
T	2.1.2	feat/INKA-2.1.2-artist-route-resolution	Resolver el artista por id y manejar el 404
T	2.1.3	feat/INKA-2.1.3-cover-header-gradient	Construir el header de portada con degradado
T	2.1.4	feat/INKA-2.1.4-catalog-back-button	Agregar el boton de volver
H	2.2	-	Bloque de identidad
T	2.2.1	feat/INKA-2.2.1-artist-identity-block	Mostrar nombre zona precio y rating
T	2.2.2	feat/INKA-2.2.2-identity-style-chips	Reutilizar los chips de estilo en el perfil
H	2.3	-	Filtro pills del portafolio
T	2.3.1	feat/INKA-2.3.1-portfolio-filter-pills	Derivar las pills de filtro del portafolio
T	2.3.2	feat/INKA-2.3.2-portfolio-filter-signal	Filtrar el grid con un computed
H	2.4	-	Grid masonry del portafolio
T	2.4.1	feat/INKA-2.4.1-masonry-grid-layout	Maquetar el grid masonry de 2 columnas
T	2.4.2	perf/INKA-2.4.2-lazy-images-aspect-ratio	Cargar las imagenes en lazy sin layout shift
T	2.4.3	feat/INKA-2.4.3-portfolio-skeletons	Mostrar skeletons durante la carga
H	2.5	-	Lightbox de imagen completa
T	2.5.1	feat/INKA-2.5.1-lightbox-overlay	Abrir el lightbox a pantalla completa
T	2.5.2	feat/INKA-2.5.2-lightbox-swipe-nav	Navegar entre imagenes con swipe
T	2.5.3	feat/INKA-2.5.3-lightbox-back-button-close	Cerrar el lightbox con el boton back
H	2.6	-	Disponibilidad y CTA Contactar
T	2.6.1	feat/INKA-2.6.1-availability-pill	Mostrar la pill de disponibilidad
T	2.6.2	feat/INKA-2.6.2-contact-cta-button	Agregar el CTA fijo Contactar
T	2.6.3	feat/INKA-2.6.3-whatsapp-instagram-deeplinks	Enlazar a WhatsApp e Instagram
E	3	-	Release v0.1.0
H	3.1	-	QA de integracion
T	3.1.1	test/INKA-3.1.1-integration-qa-checklist	Ejecutar el checklist de QA de integracion
H	3.2	-	Plataformas nativas iOS y Android
T	3.2.1	chore/INKA-3.2.1-capacitor-add-android	Agregar la plataforma Android con Capacitor
T	3.2.2	chore/INKA-3.2.2-capacitor-add-ios	Agregar la plataforma iOS con Capacitor
T	3.2.3	ci/INKA-3.2.3-fix-release-workflow-native	Definir la firma de APK e IPA en release.yml
H	3.3	-	Corte de release
T	3.3.1	chore/INKA-3.3.1-version-bump-changelog	Actualizar la version y el CHANGELOG
T	3.3.2	release/0.1.0	Cortar la release 0.1.0 y taguear v0.1.0
